playlist_id,channel_id,title,published_at,description,privacy_status,thumbnail_url,playlist_url
PLV4oS06_KpqZB_vztnKo5_z-TbZEjtj1x,UCUEOHBht8pnQhQvCfIcl-gg,Portafolio web,2026-05-13 21:39:33.994902+00:00,"Ruta de aprendizaje de Portafolio web. HTML, CSS y JavaScript para analistas de datos. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqZB_vztnKo5_z-TbZEjtj1x
PLV4oS06_KpqareOMqeEEjuSjZVE-z3xt9,UCUEOHBht8pnQhQvCfIcl-gg,Bases de datos,2026-05-13 21:39:20.920293+00:00,"Ruta de aprendizaje de Bases de datos. Fundamentos, diseño relacional y no relacional. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqareOMqeEEjuSjZVE-z3xt9
PLV4oS06_KpqY_vrV-qHy-bcd6SNBJfIfD,UCUEOHBht8pnQhQvCfIcl-gg,APIs,2026-05-13 21:39:07.680089+00:00,"Ruta de aprendizaje de APIs. Consumo, autenticación e integración de APIs REST. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqY_vrV-qHy-bcd6SNBJfIfD
PLV4oS06_Kpqba4nhSZ4JzNzps84LlofSA,UCUEOHBht8pnQhQvCfIcl-gg,Bash & Shell,2026-05-13 21:38:54.404642+00:00,"Ruta de aprendizaje de Bash & Shell. Terminal, comandos esenciales y scripting. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_Kpqba4nhSZ4JzNzps84LlofSA
PLV4oS06_KpqbCEq19BoLKweEca8wWsFZj,UCUEOHBht8pnQhQvCfIcl-gg,Claude Code,2026-05-13 21:38:41.774498+00:00,"Ruta de aprendizaje de Claude Code. Productividad, automatización y flujos de trabajo con IA. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqbCEq19BoLKweEca8wWsFZj
PLV4oS06_KpqaexwBopEPSMDfSKIKFm41w,UCUEOHBht8pnQhQvCfIcl-gg,Git,2026-05-13 21:38:28.681292+00:00,"Ruta de aprendizaje de Git. Control de versiones, ramas y flujos de trabajo profesionales. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqaexwBopEPSMDfSKIKFm41w
PLV4oS06_KpqZPGBdwP52a2PiWpN3bBnUT,UCUEOHBht8pnQhQvCfIcl-gg,Python,2026-05-13 21:38:15.057297+00:00,"Ruta de aprendizaje de Python. Fundamentos, automatización y manipulación de datos. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqZPGBdwP52a2PiWpN3bBnUT
PLV4oS06_KpqYz79GqAPtGXRyx8MBkh8Sv,UCUEOHBht8pnQhQvCfIcl-gg,Google Cloud,2026-05-13 21:38:01.697494+00:00,"Ruta de aprendizaje de Google Cloud. BigQuery, Cloud Functions, Storage y más aplicados al análisis de datos. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqYz79GqAPtGXRyx8MBkh8Sv
PLV4oS06_KpqY8oyp-qA90bPVKV1_vjZxY,UCUEOHBht8pnQhQvCfIcl-gg,Google Analytics,2026-05-13 21:37:46.877567+00:00,"Ruta de aprendizaje de Google Analytics. Configuración, eventos y análisis del comportamiento de usuarios. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqY8oyp-qA90bPVKV1_vjZxY
PLV4oS06_KpqZKp-Ywayq_aKKnT4w0EQoI,UCUEOHBht8pnQhQvCfIcl-gg,Power BI,2026-05-13 21:37:33.292260+00:00,"Ruta de aprendizaje de Power BI. Dashboards, DAX y visualizaciones profesionales. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqZKp-Ywayq_aKKnT4w0EQoI
PLV4oS06_KpqZWy-VhIxEUYq3IZv3xyZsq,UCUEOHBht8pnQhQvCfIcl-gg,SQL,2026-05-13 21:37:19.900342+00:00,Ruta de aprendizaje de SQL. Desde consultas básicas hasta funciones de ventana y análisis avanzado. Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/,public,https://i.ytimg.com/img/no_thumbnail.jpg,https://www.youtube.com/playlist?list=PLV4oS06_KpqZWy-VhIxEUYq3IZv3xyZsq
