video_id,channel_id,title,published_at,duration_seconds,description,thumbnail_url,video_url
d4-4XioffMU,UCUEOHBht8pnQhQvCfIcl-gg,Procedimientos almacenados en Microsoft Fabric,2026-07-29 07:49:49+00:00,1268,"Un procedimiento almacenado es un trabajo guardado dentro de la base de datos con nombre propio, que se ejecuta cuando lo llamas.

Acepta parámetros de entrada, devuelve valores por parámetros de salida, contiene varias instrucciones que se ejecutan en orden, puede llamar a otros procedimientos y devuelve un estado según haya salido bien o mal.

Eso es lo que lo separa de una consulta. Una consulta SQL es declarativa: describes qué quieres y el motor decide cómo obtenerlo. Un procedimiento añade la parte procedimental: en qué orden pasan las cosas y qué se hace con el resultado de cada paso.

De ahí sale también la diferencia con una vista. Una vista es una tabla lógica: la puedes poner en un FROM, unirla con otras tablas, anidarla. Un procedimiento no va en ningún FROM, porque no es una tabla — es una acción. Puede escribir, borrar, actualizar y encadenar varios pasos en orden.

La pregunta que separa las dos: ¿esto cambia algo, o solo lo mira? Si solo lo mira, una vista. Si cambia algo, un procedimiento — ahí no hay alternativa.

En este video construimos uno paso a paso en el Warehouse de Microsoft Fabric, con sus tres piezas: CREATE OR ALTER PROCEDURE para bautizarlo, AS BEGIN ... END como envase y EXEC para llamarlo.

Post completo: https://www.angelgarciadatablog.com/fabric-procedimientos-almacenados

Datos usados en el tutorial:
https://raw.githubusercontent.com/angelgarciadatablog/postgresql-youtube-dataset/main/csv/videos.csv
https://raw.githubusercontent.com/angelgarciadatablog/postgresql-youtube-dataset/main/csv/video_metrics.csv",https://i.ytimg.com/vi/d4-4XioffMU/hqdefault.jpg,https://www.youtube.com/watch?v=d4-4XioffMU
Eu2w5wSNlJI,UCUEOHBht8pnQhQvCfIcl-gg,¿Lakehouse o Warehouse en Microsoft Fabric? Cuál elegir y por qué,2026-07-23 06:38:03+00:00,1842,"Lakehouse y Warehouse se parecen tanto en Fabric que cuesta saber cuándo usar cada uno. En este video construimos los dos con datos reales y públicos de un canal de YouTube, les aplicamos el mismo SQL y descubrimos que por debajo guardan lo mismo: tablas Delta en OneLake. La diferencia real aparece al intentar escribir.

Recorremos el camino completo: ingesta con Flujo de datos Gen2 → Lakehouse → materializar con CTAS en el Warehouse → modelo semántico Direct Lake → reporte en Power BI.

Post completo: https://www.angelgarciadatablog.com/microsoft-fabric-lakehouse-vs-warehouse

Datos usados en el tutorial:
https://raw.githubusercontent.com/angelgarciadatablog/postgresql-youtube-dataset/main/csv/videos.csv
https://raw.githubusercontent.com/angelgarciadatablog/postgresql-youtube-dataset/main/csv/video_metrics.csv",https://i.ytimg.com/vi/Eu2w5wSNlJI/hqdefault.jpg,https://www.youtube.com/watch?v=Eu2w5wSNlJI
4ugOz63m5-k,UCUEOHBht8pnQhQvCfIcl-gg,Problema con un pipeline de datos - 4,2026-07-05 01:13:58+00:00,167,,https://i.ytimg.com/vi/4ugOz63m5-k/hqdefault.jpg,https://www.youtube.com/watch?v=4ugOz63m5-k
6Lkyx9jAWMo,UCUEOHBht8pnQhQvCfIcl-gg,Problema con un pipeline de datos - 3,2026-07-05 01:10:45+00:00,109,,https://i.ytimg.com/vi/6Lkyx9jAWMo/hqdefault.jpg,https://www.youtube.com/watch?v=6Lkyx9jAWMo
OP7Hest5Ivo,UCUEOHBht8pnQhQvCfIcl-gg,Problema con pipeline de datos - 2,2026-07-05 00:58:58+00:00,76,,https://i.ytimg.com/vi/OP7Hest5Ivo/hqdefault.jpg,https://www.youtube.com/watch?v=OP7Hest5Ivo
_xdmT6Ir4xk,UCUEOHBht8pnQhQvCfIcl-gg,Problema con pipeline datos - parte 1,2026-07-05 00:52:34+00:00,113,,https://i.ytimg.com/vi/_xdmT6Ir4xk/hqdefault.jpg,https://www.youtube.com/watch?v=_xdmT6Ir4xk
Wez4b-J_xL4,UCUEOHBht8pnQhQvCfIcl-gg,Mi pipeline de datos se cayó y estuve semanas sin datos | Caso real,2026-07-04 17:21:25+00:00,911,"Un lunes cualquiera mi dashboard amaneció sin datos: el pipeline que analiza las métricas de mi canal de YouTube se cayó por un caso que nunca consideré — cero playlists.

En este video te cuento la historia completa: qué cambio manual lo disparó, por qué la API de YouTube dejó de devolver playlists y la lección que me llevo para diseñar pipelines más robustos.

Más contenido en mi blog de datos: https://www.angelgarciadatablog.com/",https://i.ytimg.com/vi/Wez4b-J_xL4/hqdefault.jpg,https://www.youtube.com/watch?v=Wez4b-J_xL4
I8oipG4G1GI,UCUEOHBht8pnQhQvCfIcl-gg,Parte final - Crea tu primer pipeline de datos en fabric,2026-06-29 17:48:57+00:00,23,,https://i.ytimg.com/vi/I8oipG4G1GI/hqdefault.jpg,https://www.youtube.com/watch?v=I8oipG4G1GI
7NnpKR1VA58,UCUEOHBht8pnQhQvCfIcl-gg,"Lakehouse, dataflow, modelo semántico y reporte bi en fabric",2026-06-29 17:47:28+00:00,82,,https://i.ytimg.com/vi/7NnpKR1VA58/hqdefault.jpg,https://www.youtube.com/watch?v=7NnpKR1VA58
mTCodgOqy3A,UCUEOHBht8pnQhQvCfIcl-gg,Crear un modelo semántico desde lakehouse,2026-06-29 17:45:46+00:00,180,,https://i.ytimg.com/vi/mTCodgOqy3A/hqdefault.jpg,https://www.youtube.com/watch?v=mTCodgOqy3A
nziKRGItUbo,UCUEOHBht8pnQhQvCfIcl-gg,Consultas SQL dentro de lakehouse en fabric,2026-06-29 17:43:07+00:00,50,,https://i.ytimg.com/vi/nziKRGItUbo/hqdefault.jpg,https://www.youtube.com/watch?v=nziKRGItUbo
nFQA-o7gZL4,UCUEOHBht8pnQhQvCfIcl-gg,Lakehouse y dataflow gen2,2026-06-29 17:40:55+00:00,114,,https://i.ytimg.com/vi/nFQA-o7gZL4/hqdefault.jpg,https://www.youtube.com/watch?v=nFQA-o7gZL4
4bYnczoU-8Q,UCUEOHBht8pnQhQvCfIcl-gg,Crea un dataflow gen2 en fabric,2026-06-29 17:37:48+00:00,50,,https://i.ytimg.com/vi/4bYnczoU-8Q/hqdefault.jpg,https://www.youtube.com/watch?v=4bYnczoU-8Q
0CPm2tH1Ul8,UCUEOHBht8pnQhQvCfIcl-gg,Crea tu primer lakehouse en fabric,2026-06-29 17:35:31+00:00,72,,https://i.ytimg.com/vi/0CPm2tH1Ul8/hqdefault.jpg,https://www.youtube.com/watch?v=0CPm2tH1Ul8
QFg5SkPyiqQ,UCUEOHBht8pnQhQvCfIcl-gg,Crear cuenta de azure,2026-06-28 22:29:15+00:00,43,,https://i.ytimg.com/vi/QFg5SkPyiqQ/hqdefault.jpg,https://www.youtube.com/watch?v=QFg5SkPyiqQ
TVlRs1BUsGM,UCUEOHBht8pnQhQvCfIcl-gg,Crear cuenta de power bi gratis,2026-06-28 22:25:03+00:00,58,,https://i.ytimg.com/vi/TVlRs1BUsGM/hqdefault.jpg,https://www.youtube.com/watch?v=TVlRs1BUsGM
Q2KQ6SvIU4Q,UCUEOHBht8pnQhQvCfIcl-gg,Cuenta de power bi gratuita con azure,2026-06-28 22:13:37+00:00,68,,https://i.ytimg.com/vi/Q2KQ6SvIU4Q/hqdefault.jpg,https://www.youtube.com/watch?v=Q2KQ6SvIU4Q
Un9gEpkxsio,UCUEOHBht8pnQhQvCfIcl-gg,Crea tu primer pipeline de datos en Fabric,2026-06-28 22:00:02+00:00,76,,https://i.ytimg.com/vi/Un9gEpkxsio/hqdefault.jpg,https://www.youtube.com/watch?v=Un9gEpkxsio
eXfqUxzE0MY,UCUEOHBht8pnQhQvCfIcl-gg,Construye tu pipeline de datos en Microsoft Fabric hasta un reporte en Power BI (2/2),2026-06-28 19:15:08+00:00,2188,"Segunda parte del tutorial para construir tu primer pipeline de datos en Microsoft Fabric, desde cero. En la Parte 1 creamos la cuenta y el acceso; aquí construimos el pipeline completo: de una API pública de GitHub hasta un reporte en Power BI.

En este tutorial vas a conocer, paso a paso, varios conceptos clave de Fabric que quizá escuchas por primera vez:

• Workspace — el espacio de trabajo donde vive todo tu proyecto en Fabric
• Flujo de datos Gen2 (Dataflow Gen2) — Power Query en la nube para traer y transformar datos desde una API pública
• Lakehouse y OneLake — dónde se guardan tus datos como tabla Delta
• Modelo semántico en Direct Lake — el modelo que alimenta tus reportes con velocidad de Import y frescura de DirectQuery
• Reporte en Power BI — el resultado final, construido sobre ese modelo

Todo sobre la prueba gratuita de 60 días de Fabric, sin costo.

📖 Tutorial completo en el blog:
https://www.angelgarciadatablog.com/fabric-primer-pipeline

▶️ Serie completa (playlist Azure):
https://www.youtube.com/playlist?list=PLV4oS06_KpqYMjulfvIRy6OA6XOgyLkoL

🔔 Suscríbete para más sobre análisis de datos, automatización y cloud.

#MicrosoftFabric #PowerBI #Azure #AnalisisDeDatos",https://i.ytimg.com/vi/eXfqUxzE0MY/hqdefault.jpg,https://www.youtube.com/watch?v=eXfqUxzE0MY
